run_id,completed_at,status,rows_read,rows_accepted,rows_rejected,quality_score,critical_findings,error_findings,warning_findings,info_findings,fields_profiled,total_null_values
RUN-2026-05-21,2026-05-21T09:00:00,SUCCEEDED,82450,75410,7040,91.46,8,102,244,37,18,1452
RUN-2026-05-28,2026-05-28T09:00:00,SUCCEEDED,84620,78350,6270,92.59,7,94,219,31,18,1328
RUN-2026-06-04,2026-06-04T09:00:00,SUCCEEDED,85980,80320,5660,93.42,5,81,203,29,18,1214
RUN-2026-06-11,2026-06-11T09:00:00,SUCCEEDED,88140,83015,5125,94.19,4,76,181,26,18,1108
RUN-2026-06-18,2026-06-18T09:00:00,SUCCEEDED,90210,85680,4530,94.98,4,69,160,22,18,1032
RUN-2026-06-25,2026-06-25T09:00:00,SUCCEEDED,91540,87425,4115,95.50,3,61,147,20,18,948
RUN-2026-07-02,2026-07-02T09:00:00,SUCCEEDED,93280,89570,3710,96.02,3,55,131,19,18,876
RUN-2026-07-09,2026-07-09T09:00:00,SUCCEEDED,95110,91740,3370,96.46,2,49,119,17,18,821
RUN-2026-07-16,2026-07-16T09:00:00,SUCCEEDED,96780,93635,3145,96.75,2,45,108,15,18,774
RUN-2026-07-23,2026-07-23T09:00:00,SUCCEEDED,98240,95290,2950,97.00,2,42,99,14,18,731
RUN-2026-07-30,2026-07-30T09:00:00,SUCCEEDED,100120,97380,2740,97.26,1,38,91,13,18,689
RUN-2026-08-06,2026-08-06T09:00:00,SUCCEEDED,102450,99920,2530,97.53,1,34,84,12,18,642
